Genre,AvgAccuracy1,AvgAccuracy2,NumFiles
tech-house,0.45454545454545453,0.9090909090909091,22
techno,0.45901639344262296,0.819672131147541,61
drum-and-bass,0.43478260869565216,0.8768115942028986,138
glitch-hop,0.6470588235294118,0.9411764705882353,17
breaks,0.8846153846153846,0.9615384615384616,26
dubstep,0.5657894736842105,0.868421052631579,76
electronica,0.5740740740740741,0.8518518518518519,54
electro-house,0.6818181818181818,0.8181818181818182,22
psy-trance,0.4411764705882353,0.8823529411764706,34
trance,0.9459459459459459,0.972972972972973,74
house,0.5217391304347826,0.8260869565217391,23
indie-dance-nu-disco,0.9090909090909091,0.9090909090909091,11
deep-house,0.7083333333333334,0.8333333333333334,24
funk-r-and-b,0.0,1.0,1
hard-dance,0.25,0.625,8
minimal,0.75,0.75,8
hardcore-hard-techno,0.6428571428571429,0.9285714285714286,14
dj-tools,0.4444444444444444,0.6666666666666666,9
progressive-house,0.8421052631578947,0.9473684210526315,19
chill-out,0.9333333333333333,0.9333333333333333,15
pop-rock,0.3333333333333333,0.6666666666666666,3
hip-hop,1.0,1.0,2
reggae-dub,0.5,1.0,2
