Genre,AvgAccuracy1,AvgAccuracy2,NumFiles
tech-house,0.6818181818181818,0.7727272727272727,22
techno,0.5409836065573771,0.5737704918032787,61
drum-and-bass,0.09420289855072464,0.4420289855072464,138
glitch-hop,0.5882352941176471,0.6470588235294118,17
breaks,0.5,0.5769230769230769,26
dubstep,0.5526315789473685,0.6447368421052632,76
electronica,0.3333333333333333,0.42592592592592593,54
electro-house,0.5454545454545454,0.6363636363636364,22
psy-trance,0.7352941176470589,0.7941176470588235,34
trance,0.8918918918918919,0.8918918918918919,74
house,0.2608695652173913,0.4782608695652174,23
indie-dance-nu-disco,0.36363636363636365,0.5454545454545454,11
deep-house,0.7916666666666666,0.7916666666666666,24
funk-r-and-b,0.0,1.0,1
hard-dance,0.5,0.5,8
minimal,0.625,0.625,8
hardcore-hard-techno,0.35714285714285715,0.6428571428571429,14
dj-tools,0.4444444444444444,0.4444444444444444,9
progressive-house,0.7368421052631579,0.7368421052631579,19
chill-out,0.2,0.6666666666666666,15
pop-rock,0.3333333333333333,0.6666666666666666,3
hip-hop,0.5,0.5,2
reggae-dub,0.0,0.5,2
